ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
79833,"Alina Ramona Militaru",F,23,175,59,Romania,ROU,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's Long Jump",NA
79859,"Adriana Millard Pacheco",F,21,176,65,Chile,CHI,"1948 Summer",1948,Summer,London,Athletics,"Athletics Women's 4 x 100 metres Relay",NA
79859,"Adriana Millard Pacheco",F,25,176,65,Chile,CHI,"1952 Summer",1952,Summer,Helsinki,Athletics,"Athletics Women's 200 metres",NA
79859,"Adriana Millard Pacheco",F,25,176,65,Chile,CHI,"1952 Summer",1952,Summer,Helsinki,Athletics,"Athletics Women's Long Jump",NA
79886,"Deborah ""Debbie"" Miller",F,18,155,54,Canada,CAN,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's 100 metres",NA
79886,"Deborah ""Debbie"" Miller",F,18,155,54,Canada,CAN,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's 4 x 100 metres Relay",NA
79898,"Inger Z. Miller",F,24,163,55,"United States",USA,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 200 metres",NA
79898,"Inger Z. Miller",F,24,163,55,"United States",USA,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 4 x 100 metres Relay",Gold
79918,"Louise Ann Miller (-Gittens)",F,20,183,63,"Great Britain",GBR,"1980 Summer",1980,Summer,Moskva,Athletics,"Athletics Women's High Jump",NA
79938,"Shaunae Miller (-Uibo)",F,18,185,69,Bahamas,BAH,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's 400 metres",NA
79938,"Shaunae Miller (-Uibo)",F,22,185,69,Bahamas,BAH,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 400 metres",Gold
79945,"Heather Miller-Koch",F,29,175,64,"United States",USA,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's Heptathlon",NA
80054,"Sonata Miluauskait (Buksnien-)",F,22,162,52,Lithuania,LTU,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 10 kilometres Walk",NA
80054,"Sonata Miluauskait (Buksnien-)",F,27,162,52,Lithuania,LTU,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 20 kilometres Walk",NA
80054,"Sonata Miluauskait (Buksnien-)",F,30,162,52,Lithuania,LTU,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's 20 kilometres Walk",NA
80054,"Sonata Miluauskait (Buksnien-)",F,34,162,52,Lithuania,LTU,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 20 kilometres Walk",NA
80056,"Eleonora Ladkova Milusheva",F,27,176,59,Bulgaria,BUL,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's High Jump",NA
80075,"Min Chunfeng",F,23,174,82,China,CHN,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's Discus Throw",NA
80085,"Zeina El-Jas Boulos Neaimi ""Mina""",F,21,167,65,Lebanon,LIB,"1984 Summer",1984,Summer,"Los Angeles",Athletics,"Athletics Women's 400 metres",NA
80153,"Nevena Mineva Dimitrova",F,32,169,56,Bulgaria,BUL,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's 20 kilometres Walk",NA
80160,"Glcan Mngr",F,23,165,53,Turkey,TUR,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",NA
80171,"ana Minina (-epunova)",F,23,174,58,Lithuania,LTU,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 400 metres",NA
80256,"Tnia Mara Miranda",F,30,160,50,Brazil,BRA,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's 4 x 400 metres Relay",NA
80257,"Yesenia  Ivania Miranda",F,22,159,49,"El Salvador",ESA,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 20 kilometres Walk",NA
80264,"Militsa Mircheva",F,22,165,50,Bulgaria,BUL,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's Marathon",NA
80282,"Anastasiya Sergeyevna Mironchik-Ivanova",F,23,171,53,Belarus,BLR,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Long Jump",NA
80331,"Hanna Valerivna Mishchenko",F,24,166,51,Ukraine,UKR,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 1,500 metres",NA
80331,"Hanna Valerivna Mishchenko",F,28,166,51,Ukraine,UKR,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",NA
80344,"Lisa Vasa Misipeka (-Allen)",F,21,168,93,"American Samoa",ASA,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's Shot Put",NA
80344,"Lisa Vasa Misipeka (-Allen)",F,25,168,93,"American Samoa",ASA,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's Hammer Throw",NA
80344,"Lisa Vasa Misipeka (-Allen)",F,29,168,93,"American Samoa",ASA,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's Hammer Throw",NA
80358,"Missie Misomali",F,21,161,53,Malawi,MAW,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Women's 100 metres",NA
80371,"Odette Mistoul (-Kingbou)",F,25,175,81,Gabon,GAB,"1984 Summer",1984,Summer,"Los Angeles",Athletics,"Athletics Women's Shot Put",NA
80374,"Rachita Mistry (Panda-)",F,26,164,55,India,IND,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 4 x 100 metres Relay",NA
80375,"Irina Vladimirovna Mistyukevich",F,23,182,69,Russia,RUS,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 800 metres",NA
80379,"Nataliya Vladimirovna Misyulya (Dmitrochenko-)",F,30,162,48,Belarus,BLR,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 10 kilometres Walk",NA
80379,"Nataliya Vladimirovna Misyulya (Dmitrochenko-)",F,34,162,48,Belarus,BLR,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 20 kilometres Walk",NA
80412,"Kathryn Mitchell",F,30,168,72,Australia,AUS,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Javelin Throw",NA
80412,"Kathryn Mitchell",F,34,168,72,Australia,AUS,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's Javelin Throw",NA
80414,"Kerri-Ann Mitchell",F,29,165,56,Canada,CAN,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's 100 metres",NA
80424,"Morgan Mitchell",F,21,177,63,Australia,AUS,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 400 metres",NA
80424,"Morgan Mitchell",F,21,177,63,Australia,AUS,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 4 x 400 metres Relay",NA
80425,"Nikole Alangia Mitchell",F,22,168,60,Jamaica,JAM,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 4 x 100 metres Relay",Bronze
80438,"Sylvia J. Mitchell",F,22,164,57,Australia,AUS,"1960 Summer",1960,Summer,Roma,Athletics,"Athletics Women's Long Jump",NA
80440,"Victoria Mitchell",F,26,164,47,Australia,AUS,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",NA
80440,"Victoria Mitchell",F,34,164,47,Australia,AUS,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 3,000 metres Steeplechase",NA
80461,"Svetla Ivanova Mitkova (-Snrta)",F,24,178,96,Bulgaria,BUL,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's Shot Put",NA
80461,"Svetla Ivanova Mitkova (-Snrta)",F,24,178,96,Bulgaria,BUL,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's Discus Throw",NA
80461,"Svetla Ivanova Mitkova (-Snrta)",F,28,178,96,Bulgaria,BUL,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's Shot Put",NA
80461,"Svetla Ivanova Mitkova (-Snrta)",F,32,178,96,Bulgaria,BUL,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's Shot Put",NA
80475,"Nikolia ""Niki"" Mitropoulou",F,22,186,63,Greece,GRE,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's High Jump",NA
80486,"Biljana Mitrovi-Topi",F,22,180,65,"Serbia and Montenegro",SCG,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 4 x 100 metres Relay",NA
80486,"Biljana Mitrovi-Topi",F,30,180,65,Serbia,SRB,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's Triple Jump",NA
80486,"Biljana Mitrovi-Topi",F,34,180,65,Serbia,SRB,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Triple Jump",NA
80504,"Yuka Mitsumori",F,24,160,45,Japan,JPN,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 10 kilometres Walk",NA
80525,"Galina Mityaeva",F,17,172,70,Tajikistan,TJK,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's Hammer Throw",NA
80558,"Misako Miyahara",F,26,155,41,Japan,JPN,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's Marathon",NA
80565,"Akiko Miyajima",F,29,165,60,Japan,JPN,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's Javelin Throw",NA
80581,"Etsuke Miyamoto",F,21,159,51,Japan,JPN,"1964 Summer",1964,Summer,Tokyo,Athletics,"Athletics Women's 4 x 100 metres Relay",NA
80719,"Mo Myeong-Hui",F,21,171,68,"South Korea",KOR,"1984 Summer",1984,Summer,"Los Angeles",Athletics,"Athletics Women's 200 metres",NA
80776,"Sabrina Mockenhaupt",F,23,155,45,Germany,GER,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",NA
80776,"Sabrina Mockenhaupt",F,27,155,45,Germany,GER,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 10,000 metres",NA
80776,"Sabrina Mockenhaupt",F,31,155,45,Germany,GER,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's 10,000 metres",NA
80804,"Olga Modrachov (-Davidov)",F,22,176,64,Czechoslovakia,TCH,"1952 Summer",1952,Summer,Helsinki,Athletics,"Athletics Women's High Jump",NA
80804,"Olga Modrachov (-Davidov)",F,26,176,64,Czechoslovakia,TCH,"1956 Summer",1956,Summer,Melbourne,Athletics,"Athletics Women's High Jump",NA
80809,"Bente Moe",F,23,168,50,Norway,NOR,"1984 Summer",1984,Summer,"Los Angeles",Athletics,"Athletics Women's Marathon",NA
80809,"Bente Moe",F,27,168,50,Norway,NOR,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's Marathon",NA
80867,"Sosthene Taroum Moguenara",F,22,180,65,Germany,GER,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Long Jump",NA
